Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Object Detection in Aerial Images: A Large-Scale Benchmark and Challenges","The DOTA dataset, extensive baselines, and challenges can facilitate the development of robust algorithms and reproducible research for object detection in aerial images.","Jian Ding, Nan Xue, Guisong Xia, X. Bai, Wen Yang, M. Y. Yang, Serge J. Belongie, Jiebo Luo, M. Datcu, M. Pelillo, L. Zhang",2021,619,"In he past decade, object detection has achieved significant progress in natural images but not in aerial images, due to the massive variations in the scale and orientation of objects caused by the bird's-eye view of aerial images. More importantly, the lack of large-scale benchmarks has become a major obstacle to the development of object detection in aerial images (ODAI). In this paper, we present a large-scale Dataset of Object deTection in Aerial images (DOTA) and comprehensive baselines for ODAI. The proposed DOTA dataset contains 1,793,658 object instances of 18 categories of oriented-bounding-box annotations collected from 11,268 aerial images. Based on this large-scale and well-annotated dataset, we build baselines covering 10 state-of-the-art algorithms with over 70 configurations, where the speed and accuracy performances of each model have been evaluated. Furthermore, we provide a code library for ODAI and build a website for evaluating different algorithms. Previous challenges run on DOTA have attracted more than 1300 teams worldwide. We believe that the expanded large-scale DOTA dataset, the extensive baselines, the code library and the challenges can facilitate the designs of robust algorithms and reproducible research on the problem of object detection in aerial images.","","IEEE Transactions on Pattern Analysis and Machine Intelligence","1","10.1109/tpami.2021.3117983","https://consensus.app/papers/object-detection-in-aerial-images-a-largescale-benchmark-ding-xue/34ada3c2cff55f62af6d029ee70909d8/"
"Mask OBB: A Semantic Attention-Based Mask Oriented Bounding Box Representation for Multi-Category Object Detection in Aerial Images","The proposed method improves object detection in aerial images by utilizing oriented bounding boxes and semantic attention networks, outperforming state-of-the-art methods on DOTA and HRSC2016 datasets.","Jinwang Wang, Jian Ding, Haowen Guo, Wensheng Cheng, Ting Pan, Wen Yang",2019,173,"Object detection in aerial images is a fundamental yet challenging task in remote sensing field. As most objects in aerial images are in arbitrary orientations, oriented bounding boxes (OBBs) have a great superiority compared with traditional horizontal bounding boxes (HBBs). However, the regression-based OBB detection methods always suffer from ambiguity in the definition of learning targets, which will decrease the detection accuracy. In this paper, we provide a comprehensive analysis of OBB representations and cast the OBB regression as a pixel-level classification problem, which can largely eliminate the ambiguity. The predicted masks are subsequently used to generate OBBs. To handle huge scale changes of objects in aerial images, an Inception Lateral Connection Network (ILCN) is utilized to enhance the Feature Pyramid Network (FPN). Furthermore, a Semantic Attention Network (SAN) is adopted to provide the semantic feature, which can help distinguish the object of interest from the cluttered background effectively. Empirical studies show that the entire method is simple yet efficient. Experimental results on two widely used datasets, i.e., DOTA and HRSC2016, demonstrate that the proposed method outperforms state-of-the-art methods.","","Remote. Sens.","1","10.3390/rs11242930","https://consensus.app/papers/mask-obb-a-semantic-attentionbased-mask-oriented-bounding-wang-ding/5841023da18557c39190f9c23f24b9f8/"
"Orientation-Aware Vehicle Detection in Aerial Images via an Anchor-Free Object Detection Approach","Our one-stage, anchor-free detection approach effectively detects arbitrarily oriented vehicles in high-resolution aerial images, improving performance in dense vehicle scenes or clutter backgrounds.","Fu Shi, T. Zhang, T. Zhang",2020,72,"Vehicle detection in aerial images is an important and challenging task in the field of remote sensing. Recently, deep learning technologies have yielded superior performance for object detection in remote sensing images. However, the detection results of the existing methods are horizontal bounding boxes that ignore vehicle orientations, thereby having limited applicability in scenes with dense vehicles or clutter backgrounds. In this article, we propose a one-stage, anchor-free detection approach to detect arbitrarily oriented vehicles in high-resolution aerial images. The vehicle detection task is transformed into a multitask learning problem by directly predicting high-level vehicle features via a fully convolutional network. That is, a classification subtask is created to look for vehicle central points and three regression subtasks are created to predict vehicle orientations, scales, and offsets of vehicle central points. First, coarse and fine feature maps outputted from different stages of a residual network are concatenated together by a feature pyramid fusion strategy. Upon the concatenated features, four convolutional layers are attached in parallel to predict high-level vehicle features. During training, task uncertainty learned from the training data is used to weight loss function in the multitask learning setting. For inferencing, oriented bounding boxes are generated using the predicted vehicle features, and oriented nonmaximum suppression (NMS) postprocessing is used to reduce redundant results. Experiments on two public aerial image data sets have shown the effectiveness of the proposed approach.","","IEEE Transactions on Geoscience and Remote Sensing","1","10.1109/tgrs.2020.3011418","https://consensus.app/papers/orientationaware-vehicle-detection-in-aerial-images-via-shi-zhang/3b491501561a54879397be4f8e318501/"
"Oriented object detection in optical remote sensing images using deep learning: a survey","Recent advancements in deep learning have significantly enhanced oriented object detection in remote sensing, addressing challenges and identifying future research directions.","Kunlin Wang, Zi Wang, Zhang Li, Ang Su, Xichao Teng, Minhao Liu, Qifeng Yu",2023,48,"Oriented object detection is a fundamental yet challenging task in remote sensing (RS), aiming to locate and classify objects with arbitrary orientations. Recent advancements in deep learning have significantly enhanced the capabilities of oriented object detection methods. Given the rapid development of this field, a comprehensive survey of the recent advances in oriented object detection is presented in this paper. Specifically, we begin by tracing the technical evolution from horizontal object detection to oriented object detection and highlighting the specific related challenges, including feature misalignment, spatial misalignment, oriented bounding box (OBB) regression problems, and common issues encountered in RS. Subsequently, we further categorize the existing methods into detection frameworks, OBB regression techniques, feature representation approaches, and solutions to common issues and provide an in-depth discussion of how these methods address the above challenges. In addition, we cover several publicly available datasets and evaluation protocols. Furthermore, we provide a comprehensive comparison and analysis involving the state-of-the-art methods. Toward the end of this paper, we identify several future directions for oriented object detection research.","literature review","Artificial Intelligence Review","1","10.1007/s10462-025-11256-0","https://consensus.app/papers/oriented-object-detection-in-optical-remote-sensing-wang-wang/971e2f1f7ee356d081d1efab3aa904d6/"
"Improved Faster RCNN Based on Feature Amplification and Oversampling Data Augmentation for Oriented Vehicle Detection in Aerial Images","The proposed oriented vehicle detection framework improves Faster RCNN in aerial images by incorporating oversampling, stitching data augmentation, and enhancing feature amplification, leading to a mean average precision of 60.4% and 60.1%, respectively.","Nan Mo, Li Yan",2020,44,"Vehicles in aerial images are generally with small sizes and unbalanced number of samples, which leads to the poor performances of the existing vehicle detection algorithms. Therefore, an oriented vehicle detection framework based on improved Faster RCNN is proposed for aerial images. First of all, we propose an oversampling and stitching data augmentation method to decrease the negative effect of category imbalance in the training dataset and construct a new dataset with balanced number of samples. Then considering that the pooling operation may loss the discriminative ability of features for small objects, we propose to amplify the feature map so that detailed information hidden in the last feature map can be enriched. Finally, we design a joint training loss function including center loss for both horizontal and oriented bounding boxes, and reduce the impact of small inter-class diversity on vehicle detection. The proposed framework is evaluated on the VEDAI dataset that consists of 9 vehicle categories. The experimental results show that the proposed framework outperforms previous approaches with a mean average precision of 60.4% and 60.1% in detecting horizontal and oriented bounding boxes respectively, which is about 8% better than Faster RCNN.","","Remote. Sens.","1","10.3390/rs12162558","https://consensus.app/papers/improved-faster-rcnn-based-on-feature-amplification-and-mo-yan/8c177d7a79c95f2c8fab7833e6961007/"
"VSAI: A Multi-View Dataset for Vehicle Detection in Complex Scenarios Using Aerial Images","The VSAI dataset demonstrates the complexity of real-world scenarios and poses significant challenges to existing object detection algorithms in remote sensing.","Jinghao Wang, Xichao Teng, Zhang Li, Q. Yu, Yijie Bian, Jiaqi Wei",2022,21,"Arbitrary-oriented vehicle detection via aerial imagery is essential in remote sensing and computer vision, with various applications in traffic management, disaster monitoring, smart cities, etc. In the last decade, we have seen notable progress in object detection in natural imagery; however, such development has been sluggish for airborne imagery, not only due to large-scale variations and various spins/appearances of instances but also due to the scarcity of the high-quality aerial datasets, which could reflect the complexities and challenges of real-world scenarios. To address this and to improve object detection research in remote sensing, we collected high-resolution images using different drone platforms spanning a large geographic area and introduced a multi-view dataset for vehicle detection in complex scenarios using aerial images (VSAI), featuring arbitrary-oriented views in aerial imagery, consisting of different types of complex real-world scenes. The imagery in our dataset was captured with a wide variety of camera angles, flight heights, times, weather conditions, and illuminations. VSAI contained 49,712 vehicle instances annotated with oriented bounding boxes and arbitrary quadrilateral bounding boxes (47,519 small vehicles and 2193 large vehicles); we also annotated the occlusion rate of the objects to further increase the generalization abilities of object detection networks. We conducted experiments to verify several state-of-the-art algorithms in vehicle detection on VSAI to form a baseline. As per our results, the VSAI dataset largely shows the complexity of the real world and poses significant challenges to existing object detection algorithms. The dataset is publicly available.","","Drones","1","10.3390/drones6070161","https://consensus.app/papers/vsai-a-multiview-dataset-for-vehicle-detection-in-complex-wang-teng/e6e15b51b77a5f7eaa38f9ed283cded1/"
"HIT-UAV: A high-altitude infrared thermal dataset for Unmanned Aerial Vehicle-based object detection","The HIT-UAV dataset is a high-altitude infrared thermal dataset for UAV-based object detection, demonstrating exceptional performance compared to visual light datasets.","Jiashun Suo, Tian-Miao Wang, Xingzhou Zhang, Hai-ming Chen, Wei Zhou, Weisong Shi",2022,216,"We present the HIT-UAV dataset, a high-altitude infrared thermal dataset for object detection applications on Unmanned Aerial Vehicles (UAVs). The dataset comprises 2,898 infrared thermal images extracted from 43,470 frames in hundreds of videos captured by UAVs in various scenarios, such as schools, parking lots, roads, and playgrounds. Moreover, the HIT-UAV provides essential flight data for each image, including flight altitude, camera perspective, date, and daylight intensity. For each image, we have manually annotated object instances with bounding boxes of two types (oriented and standard) to tackle the challenge of significant overlap of object instances in aerial images. To the best of our knowledge, the HIT-UAV is the first publicly available high-altitude UAV-based infrared thermal dataset for detecting persons and vehicles. We have trained and evaluated well-established object detection algorithms on the HIT-UAV. Our results demonstrate that the detection algorithms perform exceptionally well on the HIT-UAV compared to visual light datasets, since infrared thermal images do not contain significant irrelevant information about objects. We believe that the HIT-UAV will contribute to various UAV-based applications and researches. The dataset is freely available at https://pegasus.ac.cn .

© 2023. The Author(s).","","Scientific Data","1","10.1038/s41597-023-02066-6","https://consensus.app/papers/hituav-a-highaltitude-infrared-thermal-dataset-for-suo-wang/331b28fd1181535d9a91d44c090a95c0/"
"UAV Video Vehicle Detection: Benchmark and Baseline","The proposed CRNet method effectively detects and categorizes vehicles in high-altitude UAV videos, outperforming existing methods and overcoming obstruction and overlapping.","Yun Xiao, Jinfa Wang, Zhicheng Zhao, Bo Jiang, Chenglong Li, Jin Tang",2025,11,"With the increasing application of unmanned aerial vehicles (UAVs) in intelligent transportation systems, vehicle object detection in UAV videos has received increasing attention. Precise categorization and detection for vehicles in UAVs is important in many practical applications. However, existing object detection methods, tailored for natural images, often fall short of accurately identifying vehicle objects. Additionally, high-altitude UAV imaging mainly employs horizontal bounding box annotation, frequently leading to significant obstruction and overlapping. Hence, we propose a new task called UAV video vehicle detection (VVD) to achieve precise detection and categorization of vehicles in high-altitude UAV imaging environments. To facilitate the research and development of UAV VVD, we construct the first large-scale well-annotated benchmark UAV VVD dataset, which includes 70 UAV videos captured at a 500-m altitude, with 361489 vehicle instances annotated by the oriented bounding boxes and vehicle categories. Moreover, we introduce a novel category refinement network (CRNet) approach that extracts and refines vehicle object features from the bounding box of the detection results to classify vehicle categories. This approach effectively eliminates the interference of the background and other vehicle objects in candidate boxes. Notably, the vehicle object features are projected into subspace, enabling the category refinement module (CRM) to focus more on the distinctive characteristics of the vehicle object itself through normalization operations. We conduct extensive experiments on the proposed VVD dataset. Experimental results demonstrate the superiority and effectiveness of the proposed CRNet method. The relevant code and dataset are available at https://github.com/mmic-lcl.","","IEEE Transactions on Geoscience and Remote Sensing","1","10.1109/tgrs.2025.3534524","https://consensus.app/papers/uav-video-vehicle-detection-benchmark-and-baseline-xiao-wang/aa2140baf2b35d93a776f3f70fe8e791/"
"Arbitrary-Oriented Vehicle Detection in Aerial Imagery with Single Convolutional Neural Networks","Our single convolutional neural network, Oriented_SSD, accurately detects vehicles in aerial images with high accuracy and fast speed, improving traffic management.","Tianyu Tang, Zhipeng Deng, Lin Lei, H. Zou",2017,123,"Vehicle detection with orientation estimation in aerial images has received widespread interest as it is important for intelligent traffic management. This is a challenging task, not only because of the complex background and relatively small size of the target, but also the various orientations of vehicles in aerial images captured from the top view. The existing methods for oriented vehicle detection need several post-processing steps to generate final detection results with orientation, which are not efficient enough. Moreover, they can only get discrete orientation information for each target. In this paper, we present an end-to-end single convolutional neural network to generate arbitrarily-oriented detection results directly. Our approach, named Oriented_SSD (Single Shot MultiBox Detector, SSD), uses a set of default boxes with various scales on each feature map location to produce detection bounding boxes. Meanwhile, offsets are predicted for each default box to better match the object shape, which contain the angle parameter for oriented bounding boxes’ generation. Evaluation results on the public DLR Vehicle Aerial dataset and Vehicle Detection in Aerial Imagery (VEDAI) dataset demonstrate that our method can detect both the location and orientation of the vehicle with high accuracy and fast speed. For test images in the DLR Vehicle Aerial dataset with a size of 5616 × 3744 , our method achieves 76.1% average precision (AP) and 78.7% correct direction classification at 5.17 s on an NVIDIA GTX-1060.","","Remote. Sens.","1","10.3390/rs9111170","https://consensus.app/papers/arbitraryoriented-vehicle-detection-in-aerial-imagery-tang-deng/190a326519f05f4cbe75d3b46b1b755d/"
"Vehicle Detection in Aerial Images Using a Fast Oriented Region Search and the Vector of Locally Aggregated Descriptors","The proposed vehicle detection method in aerial images effectively overcomes challenges like overhead-view perspective and complex background, outperforming existing methods in various scenarios.","Chongyang Liu, Yalin Ding, Ming Zhu, J. Xiu, Mengyang Li, Qihui Li",2019,9,"Vehicle detection in aerial images plays a significant role in civil and military applications and it faces many challenges including the overhead-view perspective, the highly complex background, and the variants of vehicles. This paper presents a robust vehicle detection scheme to overcome these issues. In the detection stage, we propose a novel algorithm to generate oriented proposals that could enclose the vehicle objects properly as rotated rectangles with orientations. To discriminate the object and background in the proposals, we propose a modified vector of locally aggregated descriptors (VLAD) image representation model with a recently proposed image feature, i.e., local steering kernel (LSK) feature. By applying non-maximum suppression (NMS) after classification, we show that each vehicle object is detected with a single-oriented bounding box. Experiments are conducted on aerial images to compare the proposed method with state-of-art methods and evaluate the impact of the components in the model. The results have proven the robustness of the proposed method under various circumstances and the superior performance over other existing vehicle detection approaches.","","Sensors (Basel, Switzerland)","1","10.3390/s19153294","https://consensus.app/papers/vehicle-detection-in-aerial-images-using-a-fast-oriented-liu-ding/9660e7d4a76558f39297be1df6924392/"
